source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,3,0,0,0.916666666667,1.0,0.75,1.0,0.875,1.0,0.941176470588,1.0,0.9375,0.954545454545,0.636363636364,0.916666666667,1.0,1.0,0.833333333333,0.976744186047,0.736842105263,0.95652173913,0.969696969697,7,16,22,11,12,16,7,0,0,0,0,0,0,15,0,0,0,1,0,1,21,0,0,0,0,4,0,7,0,0,0,0,0,1,11,0,0,0,0,0,0,16
1,3,1,0,0.642857142857,0.0,0.424242424242,0.541666666667,1.0,0.0,1.0,0.0,1.0,1.0,0.555555555556,0.0,0.95652173913,0.0,0.595744680851,0.702702702703,0.714285714286,0.0,0.977777777778,11,14,13,9,14,23,0,0,11,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,4,0,5,0,0,0,14,0,0,0,0,0,1,0,0,0,22
1,3,3,0,0.821428571429,1.0,1.0,1.0,0.6875,0.285714285714,1.0,1.0,0.888888888889,1.0,0.55,0.571428571429,0.941176470588,1.0,0.941176470588,1.0,0.611111111111,0.380952380952,0.969696969697,6,18,16,20,7,17,6,0,0,0,0,0,0,16,0,1,1,0,0,0,16,0,0,0,0,0,0,11,9,0,0,0,0,3,4,0,0,0,0,1,0,16
2,0,0,0,0.702380952381,0.0,1.0,0.592592592593,0.894736842105,0.590909090909,0.785714285714,0.0,0.142857142857,0.941176470588,1.0,0.928571428571,1.0,0.0,0.25,0.727272727273,0.944444444444,0.722222222222,0.88,11,14,17,17,14,11,0,0,11,0,0,0,0,2,0,1,8,3,0,0,16,0,1,0,0,0,0,17,0,0,0,0,0,1,13,0,0,0,0,0,0,11
2,0,1,0,0.785714285714,0.0,1.0,0.653846153846,0.625,1.0,1.0,0.0,0.944444444444,1.0,1.0,0.2,0.9375,0.0,0.971428571429,0.790697674419,0.769230769231,0.333333333333,0.967741935484,8,18,17,15,10,16,0,0,8,0,0,0,0,17,0,1,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,8,2,0,0,0,1,0,0,15
2,0,3,0,0.595238095238,0.0,1.0,0.518518518519,0.625,0.25,1.0,0.0,0.153846153846,0.933333333333,1.0,0.307692307692,1.0,0.0,0.266666666667,0.666666666667,0.769230769231,0.275862068966,1.0,13,13,15,15,13,15,0,0,13,0,0,0,0,2,0,0,11,0,0,0,14,0,1,0,0,0,0,15,0,0,0,0,0,9,4,0,0,0,0,0,0,15
2,1,0,0,0.666666666667,0.3125,0.866666666667,0.0,1.0,0.785714285714,0.909090909091,1.0,0.928571428571,0.0,1.0,0.916666666667,0.833333333333,0.47619047619,0.896551724138,0.0,1.0,0.846153846154,0.869565217391,10,14,24,12,12,12,10,0,0,0,0,0,0,13,0,0,1,0,22,0,0,0,1,1,0,0,0,12,0,0,0,1,0,0,11,0,0,1,0,0,1,10
2,1,1,0,0.952380952381,1.0,1.0,0.944444444444,0.833333333333,1.0,1.0,1.0,0.888888888889,1.0,1.0,0.9,0.941176470588,1.0,0.941176470588,0.971428571429,0.909090909091,0.947368421053,0.969696969697,7,18,17,15,10,17,7,0,0,0,0,0,0,16,0,2,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,1,9,0,0,0,1,0,0,16
2,1,3,0,0.857142857143,1.0,0.714285714286,0.9375,1.0,0.5625,1.0,0.909090909091,0.769230769231,0.9375,0.733333333333,0.75,1.0,0.952380952381,0.740740740741,0.9375,0.846153846154,0.642857142857,1.0,11,13,16,15,12,17,10,0,1,0,0,0,0,10,0,0,3,0,0,0,15,0,1,0,0,1,0,11,3,0,0,3,0,0,9,0,0,0,0,0,0,17
2,3,0,0,0.654761904762,0.538461538462,0.833333333333,0.923076923077,0.0,0.32,0.857142857143,0.875,0.833333333333,0.6,0.0,1.0,1.0,0.666666666667,0.833333333333,0.727272727273,0.0,0.484848484848,0.923076923077,8,12,20,18,8,18,7,0,1,0,0,0,0,10,0,0,0,2,6,1,12,0,0,1,0,1,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,18
