device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,3,5,0.833333333333,1.0,1.0,0.764705882353,0.75,0.857142857143,0.684210526316,1.0,1.0,0.8125,0.818181818182,0.6,0.722222222222,1.0,1.0,0.787878787879,0.782608695652,0.705882352941,0.702702702703,15,14,16,11,10,18,15,0,0,0,0,0,0,14,0,0,0,0,0,0,13,1,0,2,0,0,1,9,0,1,0,0,1,0,6,3,0,0,2,2,1,13
0,4,0,0.952380952381,0.916666666667,1.0,0.947368421053,0.933333333333,0.9,1.0,1.0,0.882352941176,0.947368421053,1.0,1.0,0.928571428571,0.95652173913,0.9375,0.947368421053,0.965517241379,0.947368421053,0.962962962963,11,17,19,14,9,14,11,0,0,0,0,0,0,15,0,1,1,0,1,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,1,0,0,13
0,4,6,0.77380952381,0.866666666667,0.857142857143,0.769230769231,0.846153846154,0.642857142857,0.666666666667,1.0,0.8,0.625,0.647058823529,0.9,0.769230769231,0.928571428571,0.827586206897,0.689655172414,0.733333333333,0.75,0.714285714286,13,15,16,17,10,13,13,0,0,0,0,0,1,12,0,1,1,0,1,0,10,0,0,5,0,2,0,11,4,0,0,0,0,1,9,0,0,0,3,0,0,10
0,4,1,0.869047619048,0.9375,1.0,0.631578947368,0.923076923077,0.818181818182,1.0,1.0,0.933333333333,0.857142857143,0.857142857143,0.9,0.6875,0.967741935484,0.965517241379,0.727272727273,0.888888888889,0.857142857143,0.814814814815,15,15,14,14,10,16,15,0,0,0,0,0,0,14,1,0,0,0,1,0,12,0,1,0,0,0,1,12,1,0,0,0,0,1,9,0,0,0,5,0,0,11
0,4,5,0.77380952381,0.909090909091,0.941176470588,0.5,0.923076923077,0.666666666667,0.75,1.0,1.0,0.642857142857,0.75,0.6,0.666666666667,0.952380952381,0.969696969697,0.5625,0.827586206897,0.631578947368,0.705882352941,10,16,14,16,10,18,10,0,0,0,0,0,0,16,0,0,0,0,1,0,9,0,0,4,0,0,1,12,3,0,0,1,2,1,6,0,0,0,6,0,0,12
0,5,0,0.97619047619,1.0,1.0,1.0,0.947368421053,1.0,0.928571428571,1.0,0.928571428571,0.947368421053,1.0,1.0,1.0,1.0,0.962962962963,0.972972972973,0.972972972973,1.0,0.962962962963,8,14,19,18,12,13,8,0,0,0,0,0,0,13,0,1,0,0,0,0,18,0,0,1,0,0,0,18,0,0,0,0,0,0,12,0,0,0,0,0,0,13
0,5,6,0.761904761905,1.0,0.833333333333,1.0,1.0,0.5,0.666666666667,1.0,0.833333333333,0.736842105263,0.428571428571,0.923076923077,1.0,1.0,0.833333333333,0.848484848485,0.6,0.648648648649,0.8,7,12,19,21,13,12,7,0,0,0,0,0,0,10,0,0,2,0,0,0,14,0,0,5,0,1,0,9,10,1,0,1,0,0,12,0,0,0,0,0,0,12
0,5,1,0.797619047619,0.8125,0.875,0.75,0.769230769231,0.9,0.764705882353,1.0,0.538461538462,0.789473684211,0.833333333333,0.818181818182,0.8125,0.896551724138,0.666666666667,0.769230769231,0.8,0.857142857143,0.787878787879,13,13,19,12,11,16,13,0,0,0,0,0,1,7,2,2,0,1,1,0,15,0,0,3,1,0,0,10,1,0,0,1,0,1,9,0,0,0,3,0,0,13
0,5,5,0.738095238095,0.818181818182,1.0,0.916666666667,0.777777777778,0.571428571429,0.526315789474,1.0,0.714285714286,0.578947368421,0.7,0.8,0.833333333333,0.9,0.833333333333,0.709677419355,0.736842105263,0.666666666667,0.645161290323,9,14,19,20,10,12,9,0,0,0,0,0,1,10,0,0,1,2,1,0,11,2,0,5,0,0,0,14,4,2,0,0,0,2,8,0,0,0,1,0,1,10
0,6,0,0.964285714286,1.0,1.0,0.866666666667,0.947368421053,1.0,1.0,0.875,1.0,1.0,1.0,0.941176470588,0.9375,0.933333333333,1.0,0.928571428571,0.972972972973,0.969696969697,0.967741935484,8,12,13,18,17,16,7,0,1,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,0,1,16,0,0,0,1,0,0,15
