sources,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0_1_2,3,6,5,0.325,1.0,0.41935483871,0.25,0.296296296296,1.0,0.0,0.375,0.8125,0.0555555555556,0.727272727273,0.125,0.0,0.545454545455,0.553191489362,0.0909090909091,0.421052631579,0.222222222222,0.0,8,16,18,11,8,19,3,0,1,2,0,2,0,13,1,1,0,1,0,1,1,9,0,7,0,1,1,8,0,1,0,4,0,0,1,3,0,12,0,7,0,0
0_1_3,2,0,0,0.9625,1.0,0.941176470588,1.0,0.818181818182,1.0,1.0,1.0,0.888888888889,1.0,1.0,1.0,0.933333333333,1.0,0.914285714286,1.0,0.9,1.0,0.965517241379,13,18,15,9,10,15,13,0,0,0,0,0,0,16,0,2,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,1,0,0,0,14
0_1_3,2,0,6,0.3,1.0,0.444444444444,0.0,0.314285714286,0.228571428571,0.0,0.1,0.235294117647,0.0,1.0,0.888888888889,0.0,0.181818181818,0.307692307692,0.0,0.478260869565,0.363636363636,0.0,10,17,15,11,9,18,1,1,0,5,3,0,0,4,0,5,8,0,0,1,0,14,0,0,0,0,0,11,0,0,0,1,0,0,8,0,0,2,0,0,16,0
0_1_3,2,0,1,0.15,0.0,0.0,0.75,0.0,0.147540983607,0.0,0.0,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.257142857143,0.0,10,15,20,11,9,15,0,0,0,0,10,0,0,0,1,0,14,0,0,0,3,0,8,9,0,0,0,0,6,5,0,0,0,0,9,0,0,1,0,0,14,0
0_1_3,2,0,5,0.3,1.0,0.0,0.481481481481,0.0,0.166666666667,0.0,0.428571428571,0.0,0.928571428571,0.0,1.0,0.0,0.6,0.0,0.634146341463,0.0,0.285714285714,0.0,7,17,14,15,8,19,3,0,0,0,4,0,0,0,4,1,12,0,0,0,13,0,1,0,0,0,9,0,6,0,0,0,0,0,8,0,0,0,1,1,17,0
0_1_3,2,1,0,0.8875,1.0,0.5,1.0,1.0,0.888888888889,0.954545454545,0.923076923077,0.875,0.8125,0.714285714286,1.0,1.0,0.96,0.636363636364,0.896551724138,0.833333333333,0.941176470588,0.976744186047,13,8,16,14,8,21,12,0,0,0,0,1,0,7,0,0,1,0,0,3,13,0,0,0,0,4,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,21
0_1_3,2,1,6,0.475,1.0,0.2,0.777777777778,0.55,0.5,0.230769230769,0.615384615385,0.266666666667,0.5,0.916666666667,0.625,0.166666666667,0.761904761905,0.228571428571,0.608695652174,0.6875,0.555555555556,0.193548387097,13,15,14,12,8,18,8,0,0,1,4,0,0,4,1,2,0,8,0,2,7,5,0,0,0,0,1,11,0,0,0,1,0,0,5,2,0,13,0,1,1,3
0_1_3,2,1,1,0.425,0.6875,0.181818181818,0.5,0.666666666667,0.733333333333,0.222222222222,0.846153846154,0.461538461538,0.117647058824,0.153846153846,0.846153846154,0.181818181818,0.758620689655,0.260869565217,0.190476190476,0.25,0.785714285714,0.2,13,13,17,13,13,11,11,0,0,0,2,0,0,6,0,0,0,7,0,14,2,1,0,0,0,9,2,2,0,0,2,0,0,0,11,0,3,4,0,0,2,2
0_1_3,2,1,5,0.5375,0.6875,0.357142857143,0.583333333333,0.411764705882,0.636363636364,0.6,0.733333333333,0.5,0.388888888889,0.4375,1.0,0.428571428571,0.709677419355,0.416666666667,0.466666666667,0.424242424242,0.777777777778,0.5,15,10,18,16,7,14,11,1,1,0,2,0,0,5,0,2,0,3,0,2,7,7,1,1,3,2,4,7,0,0,0,0,0,0,7,0,2,4,0,1,1,6
0_1_3,2,3,0,0.9875,1.0,0.933333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888889,1.0,1.0,1.0,0.965517241379,1.0,0.941176470588,1.0,1.0,12,14,18,9,12,15,12,0,0,0,0,0,0,14,0,0,0,0,0,0,18,0,0,0,0,1,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,15
0_1_3,2,3,6,0.375,1.0,0.0,0.0,0.392857142857,0.266666666667,0.4375,0.0769230769231,0.0,0.0,1.0,0.8,0.823529411765,0.142857142857,0.0,0.0,0.564102564103,0.4,0.571428571429,13,17,17,11,5,17,1,2,0,2,8,0,0,0,0,2,0,15,0,2,0,13,0,2,0,0,0,11,0,0,0,0,0,0,4,1,0,0,0,0,3,14
