source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.2875,0.8,0.833333333333,0.0,0.0,0.170731707317,0.142857142857,0.727272727273,0.3125,0.0,0.0,0.875,0.1875,0.761904761905,0.454545454545,0.0,0.0,0.285714285714,0.162162162162,11,16,19,10,8,16,8,0,0,0,3,0,1,5,2,0,4,4,1,1,0,0,9,8,0,0,0,0,5,5,0,0,0,0,7,1,0,0,0,0,13,3
0,1,0,1,0.325,0.714285714286,0.5,0.333333333333,0.0,0.0,0.283333333333,0.625,0.214285714286,0.047619047619,0.0,0.0,0.944444444444,0.666666666667,0.3,0.0833333333333,0.0,0.0,0.435897435897,8,14,21,12,7,18,5,0,0,0,1,2,0,3,1,0,1,9,0,1,1,0,1,18,0,2,1,0,0,9,2,0,0,0,0,5,0,0,0,0,1,17
0,1,0,2,0.2,0.0,0.666666666667,0.0,0.181818181818,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.210526315789,0.0,0.307692307692,0.0,0.0,14,16,12,14,7,17,0,1,0,13,0,0,0,2,0,14,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,17,0,0
0,1,0,3,0.275,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43137254902,0.0,0.0,0.0,0.0,11,22,13,9,14,11,0,11,0,0,0,0,0,22,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0
0,1,1,0,0.325,0.0,0.275,0.5,0.75,0.125,0.142857142857,0.0,1.0,0.157894736842,0.75,0.125,0.1,0.0,0.43137254902,0.24,0.75,0.125,0.117647058824,10,11,19,12,8,20,0,3,0,0,7,0,0,11,0,0,0,0,0,2,3,3,0,11,0,0,3,9,0,0,0,6,0,0,1,1,0,18,0,0,0,2
0,1,1,1,0.275,0.6,0.238805970149,0.0,0.0,0.6,0.0,0.333333333333,0.888888888889,0.0,0.0,0.6,0.0,0.428571428571,0.376470588235,0.0,0.0,0.6,0.0,9,18,17,13,5,18,3,4,0,0,2,0,2,16,0,0,0,0,0,16,0,0,0,1,0,11,0,0,0,2,0,2,0,0,3,0,0,18,0,0,0,0
0,1,1,2,0.575,0.5,0.513513513514,1.0,1.0,0.636363636364,0.222222222222,0.384615384615,1.0,0.538461538462,1.0,0.636363636364,0.111111111111,0.434782608696,0.678571428571,0.7,1.0,0.636363636364,0.148148148148,13,19,13,6,11,18,5,8,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,6,0,0,0,6,0,0,0,3,0,0,7,1,5,7,0,0,4,2
0,1,1,3,0.3125,0.5,0.483870967742,0.0,0.0,0.177777777778,0.0,0.4,0.882352941176,0.0,0.0,1.0,0.0,0.444444444444,0.625,0.0,0.0,0.301886792453,0.0,5,17,13,12,8,25,2,0,0,0,3,0,0,15,0,0,2,0,0,3,0,0,10,0,0,4,0,0,8,0,0,0,0,0,8,0,2,9,0,0,14,0
0,1,2,0,0.15,0.0,0.193548387097,0.0,0.0,0.0,0.0,0.0,0.857142857143,0.0,0.0,0.0,0.0,0.0,0.315789473684,0.0,0.0,0.0,0.0,14,14,19,9,8,16,0,14,0,0,0,0,0,12,0,0,2,0,0,19,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0
0,1,2,1,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.315789473684,0.0,0.0,0.0,0.0,14,15,11,10,12,18,0,14,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,18,0,0,0,0
