source,target,feature,clf,target_training_data,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.0,0.875,1.0,0.619047619048,0.904761904762,1.0,1.0,1.0,0.909090909091,1.0,1.0,0.777777777778,0.222222222222,1.0,0.952380952381,0.764705882353,0.95,0.875,0.363636363636,1.0,11,13,19,9,9,19,10,0,1,0,0,0,0,13,0,0,0,0,0,0,19,0,0,0,0,1,1,7,0,0,0,7,0,0,2,0,0,0,0,0,0,19
0,1,0,0,0.1,0.95,1.0,0.933333333333,0.9375,0.923076923077,0.9,1.0,1.0,0.875,1.0,0.857142857143,1.0,1.0,1.0,0.903225806452,0.967741935484,0.888888888889,0.947368421053,1.0,11,16,15,14,9,15,11,0,0,0,0,0,0,14,0,1,1,0,0,0,15,0,0,0,0,1,1,12,0,0,0,0,0,0,9,0,0,0,0,0,0,15
0,1,0,0,0.2,0.9125,0.888888888889,0.923076923077,1.0,0.818181818182,1.0,0.884615384615,1.0,0.8,1.0,0.75,0.875,1.0,0.941176470588,0.857142857143,1.0,0.782608695652,0.933333333333,0.938775510204,8,15,14,12,8,23,8,0,0,0,0,0,0,12,0,2,0,1,0,0,14,0,0,0,1,0,0,9,0,2,0,1,0,0,7,0,0,0,0,0,0,23
0,1,0,0,0.3,0.925,0.909090909091,0.692307692308,1.0,0.928571428571,1.0,1.0,1.0,0.818181818182,1.0,0.866666666667,0.75,1.0,0.952380952381,0.75,1.0,0.896551724138,0.857142857143,1.0,10,11,14,15,8,22,10,0,0,0,0,0,1,9,0,1,0,0,0,0,14,0,0,0,0,2,0,13,0,0,0,2,0,0,6,0,0,0,0,0,0,22
0,1,0,0,0.4,0.9375,0.875,0.923076923077,1.0,0.727272727273,1.0,1.0,1.0,0.8,0.95,1.0,0.909090909091,1.0,0.933333333333,0.857142857143,0.974358974359,0.842105263158,0.952380952381,1.0,7,15,20,8,11,19,7,0,0,0,0,0,0,12,0,3,0,0,1,0,19,0,0,0,0,0,0,8,0,0,0,1,0,0,10,0,0,0,0,0,0,19
0,1,0,0,0.5,0.9,1.0,0.875,0.833333333333,0.782608695652,1.0,1.0,0.9,0.636363636364,1.0,0.9,0.909090909091,1.0,0.947368421053,0.736842105263,0.909090909091,0.837209302326,0.952380952381,1.0,10,11,10,20,11,18,9,0,0,1,0,0,0,7,0,4,0,0,0,0,10,0,0,0,0,0,2,18,0,0,0,1,0,0,10,0,0,0,0,0,0,18
0,1,0,0,0.6,0.975,1.0,0.9,0.933333333333,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.909090909091,1.0,1.0,0.9,0.965517241379,1.0,0.952380952381,1.0,11,10,14,12,11,22,11,0,0,0,0,0,0,9,1,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,1,0,0,10,0,0,0,0,0,0,22
0,1,0,0,0.7,0.9375,1.0,0.9,0.857142857143,0.9375,1.0,0.954545454545,0.909090909091,0.75,1.0,0.9375,1.0,1.0,0.952380952381,0.818181818182,0.923076923077,0.9375,1.0,0.976744186047,11,12,12,16,8,21,10,0,1,0,0,0,0,9,1,1,0,1,0,0,12,0,0,0,0,1,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,21
0,1,0,0,0.8,0.95,1.0,1.0,0.933333333333,0.866666666667,0.888888888889,1.0,1.0,0.769230769231,1.0,0.928571428571,1.0,1.0,1.0,0.869565217391,0.965517241379,0.896551724138,0.941176470588,1.0,10,13,14,14,8,21,10,0,0,0,0,0,0,10,0,2,1,0,0,0,14,0,0,0,0,0,1,13,0,0,0,0,0,0,8,0,0,0,0,0,0,21
0,1,0,0,0.9,0.9375,0.909090909091,0.923076923077,1.0,0.916666666667,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.95,0.952380952381,0.827586206897,1.0,0.95652173913,0.857142857143,0.974358974359,10,16,17,11,6,20,10,0,0,0,0,0,1,12,0,1,2,0,0,0,17,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,1,0,0,0,19
0,1,0,0,1.0,0.9375,0.933333333333,1.0,1.0,0.857142857143,0.833333333333,0.941176470588,0.933333333333,0.8,1.0,1.0,1.0,0.941176470588,0.933333333333,0.888888888889,1.0,0.923076923077,0.909090909091,0.941176470588,15,15,16,12,5,17,14,0,0,1,0,0,0,12,0,1,1,1,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,1,0,0,0,0,16
0,1,1,0,0.0,0.7375,1.0,0.451612903226,0.928571428571,1.0,0.714285714286,0.833333333333,0.666666666667,0.933333333333,0.928571428571,0.923076923077,0.625,0.333333333333,0.8,0.608695652174,0.928571428571,0.96,0.666666666667,0.47619047619,15,15,14,13,8,15,10,5,0,0,0,0,0,14,0,0,0,1,0,1,13,0,0,0,0,0,1,12,0,0,0,3,0,0,5,0,0,8,0,0,2,5
