source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.8875,0.916666666667,0.916666666667,0.736842105263,0.846153846154,1.0,1.0,0.846153846154,0.733333333333,1.0,0.846153846154,0.888888888889,1.0,0.88,0.814814814815,0.848484848485,0.846153846154,0.941176470588,1.0,13,15,14,13,9,16,11,0,2,0,0,0,1,11,1,2,0,0,0,0,14,0,0,0,0,0,2,11,0,0,0,1,0,0,8,0,0,0,0,0,0,16
0,1,0,1,0.2125,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.350515463918,0.0,0.0,0.0,0.0,15,17,8,13,8,19,0,15,0,0,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,19,0,0,0,0
0,1,0,2,0.7875,0.764705882353,0.882352941176,0.608695652174,1.0,0.666666666667,0.947368421053,1.0,0.75,0.823529411765,0.125,1.0,0.9,0.866666666667,0.810810810811,0.7,0.222222222222,0.8,0.923076923077,13,20,17,8,2,20,13,0,0,0,0,0,1,15,2,0,1,1,3,0,14,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,2,0,0,0,18
0,1,0,3,0.1375,0.0,0.1375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.241758241758,0.0,0.0,0.0,0.0,13,11,18,16,7,15,0,13,0,0,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0
0,1,1,0,0.65,1.0,0.414634146341,1.0,0.909090909091,0.714285714286,0.5,0.888888888889,1.0,0.6875,0.833333333333,0.5,0.0625,0.941176470588,0.586206896552,0.814814814815,0.869565217391,0.588235294118,0.111111111111,9,17,16,12,10,16,8,1,0,0,0,0,0,17,0,0,0,0,0,3,11,1,0,1,0,2,0,10,0,0,0,5,0,0,5,0,0,13,0,0,2,1
0,1,1,1,0.1625,0.0,0.168831168831,0.0,0.0,0.0,0.0,0.0,0.928571428571,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,9,14,17,14,11,15,0,9,0,0,0,0,1,13,0,0,0,0,0,17,0,0,0,0,1,12,1,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0
0,1,1,2,0.1625,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.279569892473,0.0,0.0,0.0,0.0,11,13,20,11,8,17,0,11,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,17,0,0,0,0
0,1,1,3,0.45,1.0,0.354838709677,1.0,0.2,0.444444444444,0.444444444444,0.7,0.916666666667,0.0625,0.1,0.8,0.363636363636,0.823529411765,0.511627906977,0.117647058824,0.133333333333,0.571428571429,0.4,10,12,16,10,10,22,7,0,0,0,3,0,0,11,0,0,1,0,0,5,1,3,1,6,0,5,0,1,1,3,0,1,0,0,8,1,0,9,0,1,4,8
0,1,2,0,0.8125,0.9,0.611111111111,0.823529411765,0.6,1.0,1.0,0.818181818182,0.6875,0.933333333333,0.5,0.888888888889,1.0,0.857142857143,0.647058823529,0.875,0.545454545455,0.941176470588,1.0,11,16,15,12,9,17,9,1,1,0,0,0,0,11,1,4,0,0,1,0,14,0,0,0,0,5,1,6,0,0,0,1,0,0,8,0,0,0,0,0,0,17
0,1,2,1,0.2125,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.350515463918,0.0,0.0,0.0,0.0,13,17,17,12,6,15,0,13,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0
0,1,2,2,0.9125,0.916666666667,0.714285714286,0.9375,0.9375,1.0,1.0,1.0,0.833333333333,0.9375,1.0,0.833333333333,0.857142857143,0.95652173913,0.769230769231,0.9375,0.967741935484,0.909090909091,0.923076923077,11,12,16,15,12,14,11,0,0,0,0,0,0,10,1,1,0,0,1,0,15,0,0,0,0,0,0,15,0,0,0,2,0,0,10,0,0,2,0,0,0,12
0,1,2,3,0.1375,1.0,0.0,0.0,0.0,0.126582278481,0.0,0.0909090909091,0.0,0.0,0.0,1.0,0.0,0.166666666667,0.0,0.0,0.0,0.224719101124,0.0,11,18,13,13,10,15,1,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,15,0
0,1,3,0,0.75,0.888888888889,0.4375,0.952380952381,1.0,1.0,0.0,0.8,0.933333333333,0.952380952381,1.0,0.285714285714,0.0,0.842105263158,0.595744680851,0.952380952381,1.0,0.444444444444,0.0,10,15,21,16,7,11,8,2,0,0,0,0,0,14,1,0,0,0,0,1,20,0,0,0,0,0,0,16,0,0,0,5,0,0,2,0,1,10,0,0,0,0
